day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;1900;AMETHYSTS;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;34.0
0;2000;AMETHYSTS;9996;2;9995;21;;;10004;2;10005;21;;;10000.0;34.0
0;2000;STARFRUIT;5036;23;;;;;5043;23;;;;;5039.5;21.14453125
0;2100;AMETHYSTS;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;34.0
0;2100;STARFRUIT;5036;28;;;;;5041;5;5043;28;;;5038.5;20.7578125
0;2200;AMETHYSTS;9996;1;9995;20;;;9998;4;10004;1;10005;20;9997.0;34.0
0;2200;STARFRUIT;5037;4;5036;21;;;5043;21;;;;;5040.0;21.4296875
0;2300;STARFRUIT;5038;5;5037;24;;;5043;2;5044;22;;;5040.5;14.96875
0;2300;AMETHYSTS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;42.0
0;2400;AMETHYSTS;9996;2;9995;20;;;10004;2;10005;20;;;10000.0;42.0
0;2400;STARFRUIT;5037;22;;;;;5043;2;5044;20;;;5040.0;15.015625
0;2500;AMETHYSTS;9998;3;9996;2;9995;21;10004;2;10005;21;;;10001.0;42.0
0;2500;STARFRUIT;5036;23;;;;;5043;23;;;;;5039.5;20.328125
0;2600;AMETHYSTS;10002;1;9996;1;9995;29;10004;1;10005;29;;;10003.0;42.0
0;2600;STARFRUIT;5035;30;;;;;5042;30;;;;;5038.5;29.60546875
0;2700;STARFRUIT;5036;7;5035;23;;;5041;2;5042;21;;;5038.5;30.98828125
0;2700;AMETHYSTS;9998;7;9996;2;9995;21;10004;2;10005;21;;;10001.0;44.0
0;2800;AMETHYSTS;9995;27;;;;;10005;27;;;;;10000.0;44.0
0;2800;STARFRUIT;5035;27;;;;;5042;27;;;;;5038.5;27.34375
0;2900;AMETHYSTS;9996;2;9995;20;;;10004;2;10005;20;;;10000.0;44.0
0;2900;STARFRUIT;5035;22;;;;;5042;22;;;;;5038.5;28.3359375
0;3000;AMETHYSTS;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;44.0
0;3000;STARFRUIT;5040;1;5035;6;5034;29;5041;30;;;;;5040.5;33.71484375
0;3100;STARFRUIT;5035;1;5034;27;;;5041;28;;;;;5038.0;35.19921875
0;3100;AMETHYSTS;9998;5;9996;1;9995;27;10004;1;10005;27;;;10001.0;44.0
0;3200;STARFRUIT;5035;24;;;;;5038;5;5042;24;;;5036.5;32.234375
0;3200;AMETHYSTS;10002;2;9995;24;;;10005;24;;;;;10003.5;44.0
0;3300;AMETHYSTS;10002;1;9996;1;9995;24;10004;1;10005;24;;;10003.0;48.0
0;3300;STARFRUIT;5034;25;;;;;5041;25;;;;;5037.5;35.48046875
0;3400;STARFRUIT;5034;29;;;;;5041;29;;;;;5037.5;35.603515625
0;3400;AMETHYSTS;9998;10;9996;2;9995;27;10004;2;10005;27;;;10001.0;50.0
0;3500;STARFRUIT;5034;26;;;;;5041;26;;;;;5037.5;35.40625
0;3500;AMETHYSTS;9995;26;;;;;10002;10;10005;26;;;9998.5;50.0
0;3600;STARFRUIT;5034;27;;;;;5041;27;;;;;5037.5;36.078125
0;3600;AMETHYSTS;9995;27;;;;;10002;8;10005;27;;;9998.5;50.0
0;3700;AMETHYSTS;9998;3;9995;25;;;10005;25;;;;;10001.5;50.0
0;3700;STARFRUIT;5034;25;;;;;5041;25;;;;;5037.5;34.640625
0;3800;STARFRUIT;5034;24;;;;;5039;7;5041;24;;;5036.5;35.1484375
0;3800;AMETHYSTS;9995;24;;;;;10005;24;;;;;10000.0;50.0
0;3900;STARFRUIT;5035;1;5034;26;;;5040;2;5041;24;;;5037.5;37.380859375
0;3900;AMETHYSTS;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;50.0
0;4000;STARFRUIT;5034;30;;;;;5041;31;;;;;5037.5;36.396484375
0;4000;AMETHYSTS;10002;1;9996;1;9995;30;10004;1;10005;30;;;10003.0;50.0
0;4100;AMETHYSTS;10000;5;9996;2;9995;22;10002;4;10004;2;10005;22;10001.0;52.0
0;4100;STARFRUIT;5037;5;5035;2;5034;22;5041;24;;;;;5039.0;34.11328125
0;4200;STARFRUIT;5034;29;;;;;5039;7;5041;29;;;5036.5;36.5078125
0;4200;AMETHYSTS;10002;5;9996;1;9995;28;10004;1;10005;28;;;10003.0;52.0
0;4300;STARFRUIT;5034;26;;;;;5036;2;5041;26;;;5035.0;34.130859375
0;4300;AMETHYSTS;9995;26;;;;;10002;8;10005;26;;;9998.5;62.0
0;4400;STARFRUIT;5035;28;;;;;5042;28;;;;;5038.5;37.4501953125
0;4400;AMETHYSTS;9995;28;;;;;10005;28;;;;;10000.0;62.0
0;4500;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;62.0
0;4500;STARFRUIT;5035;26;;;;;5040;8;5042;26;;;5037.5;37.42578125
0;4600;STARFRUIT;5035;21;;;;;5040;3;5042;21;;;5037.5;37.646484375
0;4600;AMETHYSTS;9995;21;;;;;10005;21;;;;;10000.0;62.0
0;4700;STARFRUIT;5034;26;;;;;5041;26;;;;;5037.5;39.21875
0;4700;AMETHYSTS;9998;5;9995;26;;;10005;26;;;;;10001.5;62.0
0;4800;STARFRUIT;5039;1;5035;7;5034;23;5041;23;;;;;5040.0;39.130859375
0;4800;AMETHYSTS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;62.0
0;4900;AMETHYSTS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;62.0
0;4900;STARFRUIT;5033;24;;;;;5038;6;5040;24;;;5035.5;43.0634765625
0;5000;STARFRUIT;5033;6;5032;30;;;5039;31;;;;;5036.0;45.322265625
0;5000;AMETHYSTS;9998;9;9996;1;9995;30;10004;1;10005;30;;;10001.0;62.0
0;5100;STARFRUIT;5032;26;;;;;5039;26;;;;;5035.5;45.4599609375
0;5100;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;62.0
0;5200;STARFRUIT;5035;5;5033;8;5032;23;5039;25;;;;;5037.0;45.53125
0;5200;AMETHYSTS;10000;5;9998;7;9996;2;10004;2;10005;23;;;10002.0;62.0
0;5300;AMETHYSTS;9995;22;;;;;9998;12;10005;22;;;9996.5;62.0
0;5300;STARFRUIT;5032;22;;;;;5039;22;;;;;5035.5;46.4384765625
0;5400;STARFRUIT;5032;30;;;;;5039;30;;;;;5035.5;45.75390625
0;5400;AMETHYSTS;9995;30;;;;;10005;30;;;;;10000.0;86.0
0;5500;AMETHYSTS;9996;1;9995;28;;;10004;1;10005;28;;;10000.0;86.0
0;5500;STARFRUIT;5032;29;;;;;5033;8;5039;29;;;5032.5;45.859375
0;5600;AMETHYSTS;9998;2;9996;2;9995;23;10004;2;10005;23;;;10001.0;86.0
0;5600;STARFRUIT;5032;25;;;;;5038;2;5039;23;;;5035.0;64.3203125
0;5700;AMETHYSTS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;86.0
0;5700;STARFRUIT;5032;3;5031;31;;;5038;31;;;;;5035.0;61.44921875
0;5800;STARFRUIT;5031;30;;;;;5038;30;;;;;5034.5;62.23828125
0;5800;AMETHYSTS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;86.0
0;5900;AMETHYSTS;9996;2;9995;21;;;10004;2;10005;21;;;10000.0;86.0
0;5900;STARFRUIT;5031;23;;;;;5038;23;;;;;5034.5;62.8203125
0;6000;AMETHYSTS;9995;30;;;;;10002;10;10005;30;;;9998.5;86.0
0;6000;STARFRUIT;5031;30;;;;;5038;30;;;;;5034.5;62.302734375
0;6100;AMETHYSTS;9996;1;9995;24;;;10004;1;10005;24;;;10000.0;86.0
0;6100;STARFRUIT;5031;25;;;;;5037;1;5038;24;;;5034.0;59.41015625
0;6200;STARFRUIT;5036;1;5031;30;;;5038;30;;;;;5037.0;60.234375
0;6200;AMETHYSTS;9998;3;9996;1;9995;29;10004;1;10005;29;;;10001.0;86.0
0;6300;AMETHYSTS;9995;22;;;;;10005;22;;;;;10000.0;86.0
0;6300;STARFRUIT;5030;22;;;;;5037;22;;;;;5033.5;59.51171875
0;6400;AMETHYSTS;9996;1;9995;23;;;10002;6;10004;1;10005;23;9999.0;86.0
0;6400;STARFRUIT;5030;24;;;;;5036;1;5037;23;;;5033.0;57.587890625
0;6500;AMETHYSTS;9995;22;;;;;10005;22;;;;;10000.0;86.0
0;6500;STARFRUIT;5029;22;;;;;5036;22;;;;;5032.5;56.890625
0;6600;STARFRUIT;5030;29;;;;;5031;7;5036;2;5037;27;5030.5;57.67578125
0;6600;AMETHYSTS;9996;2;9995;27;;;10004;2;10005;27;;;10000.0;86.0
0;6700;AMETHYSTS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;86.0
0;6700;STARFRUIT;5030;1;5029;30;;;5034;7;5036;31;;;5032.0;69.87890625
0;6800;AMETHYSTS;10000;5;9996;2;9995;29;10004;2;10005;29;;;10002.0;86.0
0;6800;STARFRUIT;5033;4;5030;31;;;5037;31;;;;;5035.0;74.46484375
0;6900;AMETHYSTS;9996;2;9995;27;;;10004;2;10005;27;;;10000.0;86.0
0;6900;STARFRUIT;5030;29;;;;;5035;3;5037;29;;;5032.5;74.9375
0;7000;STARFRUIT;5030;8;5029;30;;;5036;31;;;;;5033.0;68.70703125
0;7000;AMETHYSTS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;86.0
0;7100;AMETHYSTS;9996;1;9995;30;;;9998;5;10002;7;10004;1;9997.0;86.0
0;7100;STARFRUIT;5030;1;5029;30;;;5036;31;;;;;5033.0;68.8515625
0;7200;AMETHYSTS;9996;1;9995;22;;;10002;1;10004;1;10005;22;9999.0;96.0
0;7200;STARFRUIT;5031;6;5030;23;;;5036;1;5037;22;;;5033.5;73.0
0;7300;AMETHYSTS;9996;1;9995;25;;;10004;1;10005;25;;;10000.0;96.0
0;7300;STARFRUIT;5030;26;;;;;5036;1;5037;25;;;5033.0;71.47265625
0;7400;STARFRUIT;5030;22;;;;;5037;22;;;;;5033.5;73.1015625
0;7400;AMETHYSTS;10002;1;9995;22;;;10005;22;;;;;10003.5;96.0
0;7500;AMETHYSTS;9995;29;;;;;10005;29;;;;;10000.0;98.0
0;7500;STARFRUIT;5030;29;;;;;5035;3;5037;29;;;5032.5;80.15234375
0;7600;AMETHYSTS;10002;1;9995;27;;;10005;27;;;;;10003.5;98.0
0;7600;STARFRUIT;5031;27;;;;;5038;27;;;;;5034.5;85.08203125
0;7700;STARFRUIT;5030;26;;;;;5037;26;;;;;5033.5;78.91796875
0;7700;AMETHYSTS;9996;1;9995;25;;;10002;5;10004;1;10005;25;9999.0;100.0
0;7800;AMETHYSTS;9995;23;;;;;10005;23;;;;;10000.0;100.0
0;7800;STARFRUIT;5031;1;5030;23;;;5037;23;;;;;5034.0;79.1953125
0;7900;AMETHYSTS;9996;2;9995;22;;;10002;7;10004;2;10005;22;9999.0;100.0
0;7900;STARFRUIT;5030;24;;;;;5037;24;;;;;5033.5;75.9140625
0;8000;AMETHYSTS;10000;3;9996;2;9995;28;10004;2;10005;28;;;10002.0;100.0
0;8000;STARFRUIT;5036;1;5033;3;5031;2;5037;30;;;;;5036.5;81.0703125
0;8100;STARFRUIT;5030;25;;;;;5037;25;;;;;5033.5;83.23828125
0;8100;AMETHYSTS;9995;25;;;;;10005;25;;;;;10000.0;100.0
0;8200;AMETHYSTS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;100.0
0;8200;STARFRUIT;5030;27;;;;;5037;27;;;;;5033.5;81.3125
0;8300;AMETHYSTS;9998;9;9995;28;;;10005;28;;;;;10001.5;100.0
0;8300;STARFRUIT;5030;28;;;;;5037;28;;;;;5033.5;82.6875
0;8400;AMETHYSTS;9998;5;9995;29;;;10005;29;;;;;10001.5;100.0
0;8400;STARFRUIT;5031;29;;;;;5038;29;;;;;5034.5;86.0546875
0;8500;STARFRUIT;5032;8;5031;27;;;5037;2;5038;25;;;5034.5;85.12890625
0;8500;AMETHYSTS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;100.0
0;8600;AMETHYSTS;9996;2;9995;27;;;10004;2;10005;27;;;10000.0;100.0
0;8600;STARFRUIT;5031;29;;;;;5037;2;5038;27;;;5034.0;84.2890625
0;8700;AMETHYSTS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;100.0
0;8700;STARFRUIT;5035;1;5031;8;5030;24;5037;24;;;;;5036.0;77.5625
0;8800;AMETHYSTS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;100.0
0;8800;STARFRUIT;5030;31;;;;;5037;31;;;;;5033.5;80.4296875
0;8900;STARFRUIT;5031;2;5030;26;;;5037;26;;;;;5034.0;78.484375
0;8900;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;100.0
0;9000;AMETHYSTS;9995;23;;;;;10005;23;;;;;10000.0;100.0
0;9000;STARFRUIT;5030;23;;;;;5037;23;;;;;5033.5;77.5546875
0;9100;AMETHYSTS;9995;22;;;;;9998;1;10005;22;;;9996.5;100.0
0;9100;STARFRUIT;5030;5;5029;22;;;5036;22;;;;;5033.0;74.83203125
0;9200;AMETHYSTS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;102.0
0;9200;STARFRUIT;5030;5;5029;25;;;5036;27;;;;;5033.0;75.67578125
0;9300;STARFRUIT;5030;1;5029;29;;;5036;30;;;;;5033.0;75.2890625
0;9300;AMETHYSTS;10002;11;9998;1;9996;1;10004;1;10005;29;;;10003.0;102.0
0;9400;AMETHYSTS;10002;1;9996;2;9995;28;10004;2;10005;28;;;10003.0;124.0
0;9400;STARFRUIT;5031;3;5030;30;;;5036;2;5037;28;;;5033.5;78.0390625
0;9500;AMETHYSTS;10002;1;9996;2;9995;24;10004;2;10005;24;;;10003.0;126.0
0;9500;STARFRUIT;5030;2;5029;24;;;5036;26;;;;;5033.0;74.94140625
0;9600;AMETHYSTS;9996;1;9995;20;;;10002;6;10004;1;10005;20;9999.0;128.0
0;9600;STARFRUIT;5029;21;;;;;5036;21;;;;;5032.5;73.0234375
0;9700;STARFRUIT;5029;31;;;;;5032;5;5034;5;5036;31;5030.5;72.1171875
0;9700;AMETHYSTS;9996;1;9995;30;;;10000;4;10004;1;10005;30;9998.0;128.0
0;9800;AMETHYSTS;9998;1;9996;2;9995;24;10004;2;10005;24;;;10001.0;128.0
0;9800;STARFRUIT;5029;26;;;;;5036;26;;;;;5032.5;74.6640625
0;9900;AMETHYSTS;9995;24;;;;;10005;24;;;;;10000.0;128.0
0;9900;STARFRUIT;5029;24;;;;;5036;24;;;;;5032.5;71.9765625
0;10000;AMETHYSTS;9995;27;;;;;10005;27;;;;;10000.0;128.0
0;10000;STARFRUIT;5029;27;;;;;5036;27;;;;;5032.5;72.0546875
0;10100;STARFRUIT;5028;21;;;;;5033;5;5035;21;;;5030.5;63.2578125
0;10100;AMETHYSTS;10002;4;9996;1;9995;20;10004;1;10005;20;;;10003.0;128.0
0;10200;AMETHYSTS;9995;20;;;;;10005;20;;;;;10000.0;136.0
0;10200;STARFRUIT;5028;20;;;;;5035;20;;;;;5031.5;63.6015625
0;10300;AMETHYSTS;9996;1;9995;24;;;10004;1;10005;24;;;10000.0;136.0
0;10300;STARFRUIT;5030;5;5029;25;;;5035;1;5036;24;;;5032.5;67.921875
0;10400;AMETHYSTS;9995;25;;;;;10005;25;;;;;10000.0;136.0
0;10400;STARFRUIT;5029;25;;;;;5036;25;;;;;5032.5;68.7421875
0;10500;STARFRUIT;5030;8;5029;26;;;5037;26;;;;;5033.5;80.921875
0;10500;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;136.0
0;10600;AMETHYSTS;9995;20;;;;;10005;20;;;;;10000.0;136.0
0;10600;STARFRUIT;5034;3;5029;20;;;5036;20;;;;;5035.0;73.6953125
0;10700;AMETHYSTS;9995;24;;;;;9998;3;10005;24;;;9996.5;136.0
0;10700;STARFRUIT;5030;7;5029;24;;;5036;24;;;;;5033.0;73.24609375
0;10800;AMETHYSTS;9995;23;;;;;10002;1;10005;23;;;9998.5;142.0
0;10800;STARFRUIT;5030;6;5029;23;;;5036;23;;;;;5033.0;73.76953125
0;10900;STARFRUIT;5029;1;5028;22;;;5031;6;5035;23;;;5030.0;72.296875
0;10900;AMETHYSTS;9996;1;9995;22;;;10000;6;10004;1;10005;22;9998.0;142.0
0;11000;AMETHYSTS;9996;1;9995;26;;;10004;1;10005;26;;;10000.0;142.0
0;11000;STARFRUIT;5028;27;;;;;5033;2;5035;27;;;5030.5;67.125
0;11100;AMETHYSTS;9996;1;9995;30;;;10002;1;10004;1;10005;30;9999.0;142.0
0;11100;STARFRUIT;5029;1;5028;31;;;5034;1;5035;30;;;5031.5;65.0546875
0;11200;AMETHYSTS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;142.0
0;11200;STARFRUIT;5028;2;5027;28;;;5032;5;5034;30;;;5030.0;58.3359375
0;11300;STARFRUIT;5027;27;;;;;5034;27;;;;;5030.5;53.84375
0;11300;AMETHYSTS;9996;2;9995;25;;;10002;2;10004;2;10005;25;9999.0;142.0
0;11400;AMETHYSTS;9995;30;;;;;10005;30;;;;;10000.0;142.0
0;11400;STARFRUIT;5027;30;;;;;5034;30;;;;;5030.5;50.015625
0;11500;AMETHYSTS;9996;1;9995;28;;;10004;1;10005;28;;;10000.0;142.0
0;11500;STARFRUIT;5027;29;;;;;5032;5;5034;29;;;5029.5;57.03125
0;11600;AMETHYSTS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;142.0
0;11600;STARFRUIT;5027;24;;;;;5032;7;5034;24;;;5029.5;54.7265625
0;11700;STARFRUIT;5029;4;5027;2;5026;20;5033;22;;;;;5031.0;41.875
0;11700;AMETHYSTS;10000;4;9996;2;9995;20;10004;2;10005;20;;;10002.0;142.0
0;11800;AMETHYSTS;9998;10;9996;1;9995;21;10004;1;10005;21;;;10001.0;142.0
0;11800;STARFRUIT;5026;22;;;;;5033;22;;;;;5029.5;36.15625
0;11900;AMETHYSTS;10002;1;10000;4;9998;1;10004;1;10005;22;;;10003.0;142.0
0;11900;STARFRUIT;5028;4;5026;1;5025;22;5032;23;;;;;5030.0;24.0234375
0;12000;STARFRUIT;5025;28;;;;;5032;28;;;;;5028.5;18.4609375
0;12000;AMETHYSTS;9996;1;9995;27;;;10004;1;10005;27;;;10000.0;144.0
0;12100;STARFRUIT;5026;2;5025;23;;;5032;25;;;;;5029.0;25.65625
0;12100;AMETHYSTS;9996;2;9995;23;;;9998;8;10004;2;10005;23;9997.0;144.0
0;12200;STARFRUIT;5025;25;;;;;5032;25;;;;;5028.5;23.765625
0;12200;AMETHYSTS;9996;2;9995;23;;;10004;2;10005;23;;;10000.0;160.0
0;12300;AMETHYSTS;9996;1;9995;24;;;10002;3;10004;1;10005;24;9999.0;160.0
0;12300;STARFRUIT;5026;5;5025;24;;;5032;25;;;;;5029.0;26.1171875
0;12400;STARFRUIT;5026;29;;;;;5033;29;;;;;5029.5;31.4296875
0;12400;AMETHYSTS;10002;1;9998;5;9995;29;10005;29;;;;;10003.5;160.0
0;12500;STARFRUIT;5029;3;5026;23;;;5033;23;;;;;5031.0;33.4453125
0;12500;AMETHYSTS;10000;3;9996;1;9995;22;10004;1;10005;22;;;10002.0;162.0
0;12600;STARFRUIT;5029;4;5026;26;;;5033;26;;;;;5031.0;34.4140625
0;12600;AMETHYSTS;10000;4;9995;26;;;10005;26;;;;;10002.5;162.0
0;12700;AMETHYSTS;10002;1;9996;1;9995;27;10004;1;10005;27;;;10003.0;162.0
0;12700;STARFRUIT;5027;28;;;;;5034;28;;;;;5030.5;49.46875
0;12800;STARFRUIT;5030;4;5027;30;;;5034;30;;;;;5032.0;52.890625
0;12800;AMETHYSTS;10000;4;9996;2;9995;28;10002;9;10004;2;10005;28;10001.0;164.0
0;12900;STARFRUIT;5027;23;;;;;5032;2;5034;23;;;5029.5;52.4375
0;12900;AMETHYSTS;9996;2;9995;21;;;10002;4;10004;2;10005;21;9999.0;164.0
0;13000;STARFRUIT;5027;32;;;;;5034;32;;;;;5030.5;55.234375
0;13000;AMETHYSTS;9996;2;9995;30;;;10002;2;10004;2;10005;30;9999.0;164.0
0;13100;AMETHYSTS;9995;21;;;;;10000;2;10005;21;;;9997.5;164.0
0;13100;STARFRUIT;5028;21;;;;;5031;2;5035;21;;;5029.5;63.4296875
0;13200;STARFRUIT;5033;1;5029;7;5028;31;5035;31;;;;;5034.0;67.1640625
0;13200;AMETHYSTS;9998;9;9996;2;9995;29;10004;2;10005;29;;;10001.0;164.0
0;13300;STARFRUIT;5028;23;;;;;5035;23;;;;;5031.5;72.3359375
0;13300;AMETHYSTS;10002;2;9996;1;9995;22;10004;1;10005;22;;;10003.0;164.0
0;13400;STARFRUIT;5028;26;;;;;5035;26;;;;;5031.5;72.375
0;13400;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;168.0
0;13500;AMETHYSTS;9996;1;9995;24;;;10004;1;10005;24;;;10000.0;168.0
0;13500;STARFRUIT;5028;25;;;;;5035;25;;;;;5031.5;69.09375
0;13600;STARFRUIT;5028;26;;;;;5033;3;5035;26;;;5030.5;73.2421875
0;13600;AMETHYSTS;9996;2;9995;24;;;10002;6;10004;2;10005;24;9999.0;168.0
0;13700;STARFRUIT;5028;28;;;;;5035;28;;;;;5031.5;77.0
0;13700;AMETHYSTS;10002;1;9995;28;;;10005;28;;;;;10003.5;168.0
0;13800;STARFRUIT;5028;23;;;;;5035;23;;;;;5031.5;78.9765625
0;13800;AMETHYSTS;9998;1;9995;23;;;10005;23;;;;;10001.5;170.0
0;13900;AMETHYSTS;9996;1;9995;20;;;10004;1;10005;20;;;10000.0;170.0
0;13900;STARFRUIT;5029;21;;;;;5031;3;5036;21;;;5030.0;89.171875
0;14000;STARFRUIT;5030;3;5029;28;;;5036;29;;;;;5033.0;93.8203125
0;14000;AMETHYSTS;10002;6;9998;1;9996;1;10004;1;10005;28;;;10003.0;170.0
0;14100;STARFRUIT;5029;22;;;;;5036;22;;;;;5032.5;91.2890625
0;14100;AMETHYSTS;9996;2;9995;20;;;10002;4;10004;2;10005;20;9999.0;182.0
0;14200;STARFRUIT;5029;21;;;;;5036;21;;;;;5032.5;88.171875
0;14200;AMETHYSTS;9995;21;;;;;10005;21;;;;;10000.0;182.0
0;14300;AMETHYSTS;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;182.0
0;14300;STARFRUIT;5029;1;5028;21;;;5035;22;;;;;5032.0;78.84375
0;14400;STARFRUIT;5029;22;;;;;5036;23;;;;;5032.5;86.859375
0;14400;AMETHYSTS;10002;4;9996;2;9995;21;10004;2;10005;21;;;10003.0;182.0
0;14500;AMETHYSTS;9996;1;9995;28;;;10002;10;10004;1;10005;28;9999.0;190.0
0;14500;STARFRUIT;5029;29;;;;;5034;6;5036;29;;;5031.5;86.65625
0;14600;AMETHYSTS;9996;1;9995;27;;;10004;1;10005;27;;;10000.0;190.0
0;14600;STARFRUIT;5029;1;5028;27;;;5030;3;5035;1;5036;27;5029.5;79.7578125
0;14700;AMETHYSTS;9996;1;9995;23;;;10004;1;10005;23;;;10000.0;190.0
0;14700;STARFRUIT;5029;24;;;;;5034;2;5035;1;5036;23;5031.5;87.0234375
0;14800;STARFRUIT;5029;1;5028;30;;;5033;3;5035;31;;;5031.0;83.0
0;14800;AMETHYSTS;9996;1;9995;30;;;9998;1;10004;1;10005;30;9997.0;190.0
0;14900;AMETHYSTS;9996;1;9995;25;;;10002;1;10004;1;10005;25;9999.0;192.0
0;14900;STARFRUIT;5032;4;5028;26;;;5035;26;;;;;5033.5;72.75
0;15000;AMETHYSTS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;192.0
0;15000;STARFRUIT;5029;6;5028;25;;;5035;27;;;;;5032.0;85.5703125
0;15100;AMETHYSTS;9996;1;9995;20;;;9998;1;10004;1;10005;20;9997.0;192.0
